count_rep1_0Hpf	count_rep1_12Hpf	count_rep2_12Hpf	count_rep1_13Hpf	count_rep2_13Hpf	count_rep1_14Hpf	count_rep2_14Hpf	count_rep1_15Hpf	count_rep2_15Hpf	count_rep1_16Hpf	count_rep2_16Hpf	count_rep1_17Hpf	count_rep2_17Hpf	count_rep1_18Hpf	count_rep2_18Hpf	count_rep1_19Hpf	count_rep2_19Hpf	
jgi|Nemve1|220531|fgenesh1_pg.scaffold_535000005	0.342951988	0.552576561	0.34632185	0.168652807	0.321861627	0.422422803	0.251131724	0.506824689	0.320181055	0.375870296	0.343573003	0.209053	0.179769713	0.438418203	0.267173947	0.478457778	0.137643165
jgi|Nemve1|220532|fgenesh1_pg.scaffold_535000006	8.328833987	11.29712081	8.715766567	8.432640363	5.701548827	8.906080758	11.42649344	6.884368695	12.96733274	10.68545555	13.34208497	11.44565175	6.381824812	8.592996769	11.27474056	6.36348845	14.91134293
jgi|Nemve1|220533|fgenesh1_pg.scaffold_535000007	16.2167297	13.56882445	14.31463648	13.60465979	12.82848486	14.29197149	13.93781068	12.20602793	9.552068152	10.57806404	10.3071901	8.780226001	10.29181607	7.453109443	8.175522773	7.081175118	6.698634054
jgi|Nemve1|220538|fgenesh1_pg.scaffold_536000004	1.959725644	1.412140101	1.154406168	1.349222458	1.103525579	1.337672209	1.004526896	1.267061723	1.227360712	1.181306644	1.087981178	1.20205475	1.438157704	1.490621889	1.65647847	1.10045289	1.055264269
jgi|Nemve1|220553|fgenesh1_pg.scaffold_538000006	31.50258973	36.83843742	32.78513517	33.16838543	27.68009995	29.67520189	33.77721689	30.57842291	31.85801501	32.48593272	37.0486222	29.42420975	27.54970852	26.91887763	26.45022074	27.1764018	25.83103406
jgi|Nemve1|220566|fgenesh1_pg.scaffold_541000001	61.29041952	53.17014468	54.60341174	47.72874446	49.52071037	43.01672208	34.65617792	33.61937105	26.46830058	25.66657163	27.19952944	21.16661625	21.30271099	17.58056992	21.42735054	16.21971868	16.10425036
jgi|Nemve1|220581|fgenesh1_pg.scaffold_543000004	10.53352534	6.815110924	8.427165025	9.669427617	9.977710447	10.87738717	4.645936895	7.855782682	5.389714432	5.369575655	5.840741059	4.54690275	8.673888653	5.962487554	5.87782683	3.444896003	4.588105516
jgi|Nemve1|220590|fgenesh1_pg.scaffold_544000005	0.489931411	0.552576561	0.404042159	0.281088012	0.505782557	0.492826603	0.313914655	0.506824689	0.266817546	0.268478783	0.286310836	0.209053	0.089884857	0.04384182	0.267173947	0.574149334	0.137643165
jgi|Nemve1|220593|fgenesh1_pg.scaffold_544000008	0.244965706	0.491179166	0.173160925	0.787046434	0.73568372	0.598432304	0.816178103	1.182590941	1.654268786	0.912827861	0.973456843	1.51563425	1.078618278	1.70983099	2.244261153	2.057368446	3.395198082
jgi|Nemve1|220599|fgenesh1_pg.scaffold_545000001	10.68050476	11.78829998	10.10105397	11.13108528	14.25387207	20.27629453	17.0141743	19.93510444	18.14359314	28.56614249	24.10737241	28.3266815	33.03268477	35.55571622	41.57226613	41.05167737	38.54008634
jgi|Nemve1|220603|fgenesh1_pg.scaffold_545000005	4.507368981	8.779827586	7.792241633	7.308288315	8.828204635	10.45496437	11.7404081	10.13649378	11.25970045	10.09480223	11.96779295	9.198332001	7.954809801	8.373787668	9.564827296	8.660085786	8.120946764
jgi|Nemve1|220607|fgenesh1_pg.scaffold_545000009	1.175835386	1.534934893	1.154406168	2.529792109	1.517347672	2.112114014	1.88348793	3.167654307	2.347994406	3.27544115	2.347748857	1.82921375	1.977466843	2.323616473	2.297695943	3.73197067	2.890506475
jgi|Nemve1|220612|fgenesh1_pg.scaffold_546000003	0.293958847	0.491179166	0.923524934	1.574092868	0.873624417	1.724893111	1.318441551	1.731651021	1.38745124	1.449785427	2.519535359	1.1497915	1.168503135	1.183729147	1.335869734	0.717686667	0.734096883
jgi|Nemve1|220618|fgenesh1_pg.scaffold_547000002	0.293958847	0.184192187	0.34632185	0.618393627	0.827644185	0.985653206	0.690612241	1.055884769	1.173997203	0.805436348	0.801670341	1.1497915	1.123560706	0.876836405	0.694652262	0.861224001	1.192907434
jgi|Nemve1|220623|fgenesh1_pg.scaffold_548000001	0.979862822	0.306986979	0.461762467	0.449740819	0.459802325	0.352019002	0.188348793	0.337883126	0.160090528	0.429566052	0.62988384	0.3135795	0.134827285	0.306892742	0.106869579	0.478457778	0.504691607
jgi|Nemve1|220626|fgenesh1_pg.scaffold_548000004	19.5482633	27.1990463	18.93226115	19.11398482	14.34583253	14.8904038	28.50345068	18.11898264	29.56338411	25.34439709	31.09335681	25.45220275	15.72984989	22.53469561	17.25943696	29.61653647	26.84041727
jgi|Nemve1|220640|fgenesh1_pg.scaffold_549000011	0.097986282	0.184192187	0.230881234	0.281088012	0.137940697	0.176009501	0.376697586	0.464589298	0.320181055	0.429566052	0.572621672	0.418106	0.314596998	0.263050922	0.480913104	0.478457778	0.642334772
jgi|Nemve1|220644|fgenesh1_pg.scaffold_550000004	4.262403276	3.806638534	4.213582513	3.316838543	4.184201155	3.168171021	3.013580689	3.716714387	3.4686281	4.134573255	3.893827372	5.748957501	3.954933687	4.252656564	4.648826675	4.975960894	5.918656116
jgi|Nemve1|220645|fgenesh1_pg.scaffold_550000005	4.997300392	2.517293224	3.116896653	2.529792109	3.034695343	2.640142517	2.888014827	1.858357194	1.867722823	2.523700558	3.550254369	1.9860035	2.202178985	1.885198271	2.297695943	1.052607112	1.468193765
